https://nn.cian.ru/sale/flat/273624550/	"Онлайн-показ
2 990 000 ₽
97 394 ₽/м²
от 23 721 ₽/мес в ипотеку
Следить за изменением цены
Альтернатива, возможна ипотека
Показать телефон
Написать
АГЕНТСТВО НЕДВИЖИМОСТИ
Монолит
Документы проверены
РИЕЛТОР
Татьяна Макеева
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	1-комн. квартира, 30,7 м²	Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, ул. Энергетиков, 6/12На карте	"30,7 м²
Общая
20,3 м²
Жилая
4,4 м²
Кухня
2 из 2
Этаж
1958
Построен"	"Тип жилья
Вторичка
Площадь комнат
20.6 м²
Санузел
1 совмещенный"	"О доме
По данным Циан
Год постройки
1958
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
2
Лифты
Есть
Отопление
Нет
Аварийность
Да
Мусоропровод
Есть"
https://nn.cian.ru/sale/flat/278923380/	"Хорошая цена
3 360 000 ₽
96 000 ₽/м²
от 26 656 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа, возможна ипотека
Показать телефон
АГЕНТСТВО НЕДВИЖИМОСТИ
Кремлевские Ворота
Документы проверены
РИЕЛТОР
Сергей Викторович Прокин
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	1-комн. квартира, 35 м²	Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Юлиуса Фучика, 10к4На карте	"35 м²
Общая
18 м²
Жилая
9 м²
Кухня
7 из 9
Этаж"	"Тип жилья
Вторичка
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Косметический"	"О доме
По данным Циан
Год постройки
1993
Лифты
Есть
Аварийность
Нет"
https://nn.cian.ru/sale/flat/276237014/	"Хорошая цена
6 300 000 ₽
156 716 ₽/м²
от 49 980 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа
Показать телефон
Написать
АГЕНТСТВО НЕДВИЖИМОСТИ
Владис
Документы проверены
РИЕЛТОР
Ирина Радченко
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	Студия, 40,2 м²	Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Дарьино, Белозерская ул., 4На карте	"40,2 м²
Общая
16,8 м²
Жилая
10,5 м²
Кухня
13 из 17
Этаж
2014
Построен"	"Тип жилья
Вторичка
Высота потолков
2,5 м
Санузел
1 раздельный
Балкон/лоджия
1 лоджия
Ремонт
Евроремонт
Вид из окон
На улицу"	"О доме
По данным Циан
Год постройки
2014
Тип дома
Монолитный
Тип перекрытий
Железобетонные
Подъезды
2
Лифты
1 пасс., 1 груз.
Отопление
Центральное
Аварийность
Нет"
https://nn.cian.ru/sale/flat/279289896/	"Хорошая цена
3 400 000 ₽
103 030 ₽/м²
от 26 973 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа, возможна ипотека
Показать телефон
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%
Елена Бекасова
PRO
Нет отзывов
Опыт работы с 2008 года
Ещё 627 объектов
Е"	1-комн. квартира, 33 м²	"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Героя Юрия Смирнова, 13На карте
Парк культуры ⋅ 6 мин. пешкомКировская ⋅ 16 мин. пешкомКомсомольская ⋅ 3 мин. на транспорте"	"33 м²
Общая
18 м²
Жилая
6 м²
Кухня
1 из 9
Этаж
1977
Построен"	"Тип жилья
Вторичка
Площадь комнат
18 м²
Высота потолков
2,5 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
Во двор"	"О доме
По данным Циан
Год постройки
1977
Строительная серия
1-464
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
18
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Мусоропровод
Есть
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/280632453/	"Хорошая цена
Только на Циан
2 150 000 ₽
66 978 ₽/м²
от 17 057 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа, возможна ипотека
Показать телефон
АГЕНТСТВО НЕДВИЖИМОСТИ
Аврора
Документы проверены
РИЕЛТОР
Лариса Владимировна Липатова
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	1-комн. квартира, 32,1 м²	Нижегородская область, Бор, ул. Лесная, 3На карте	"32,1 м²
Общая
17 м²
Жилая
6 м²
Кухня
2 из 5
Этаж"	"Тип жилья
Вторичка
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Косметический"	"О доме
По данным Циан
Год постройки
1985
Строительная серия
Индивидуальный проект
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
6
Отопление
Центральное
Аварийность
Нет
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/273637342/	"4 640 000 ₽
88 213 ₽/м²
от 36 811 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа
Показать телефон
Написать
АГЕНТСТВО НЕДВИЖИМОСТИ
Владис
Документы проверены
РИЕЛТОР
Виктор Маркитантов
5,0・1
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	2-комн. квартира, 52,6 м²	Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Мечникова, 75На карте	"52,6 м²
Общая
28,4 м²
Жилая
7,4 м²
Кухня
2 из 9
Этаж
1980
Построен"	"Тип жилья
Вторичка
Высота потолков
2,57 м
Санузел
1 раздельный
Балкон/лоджия
1 лоджия
Ремонт
Без ремонта
Вид из окон
На улицу и двор"	"О доме
По данным Циан
Год постройки
1980
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
3
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/280222387/	"3 050 000 ₽
145 238 ₽/м²
от 24 197 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа, возможна ипотека
Показать телефон
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%
Виктор Пешехонов
Профи
PRO
Документы агента проверены
ИП Пешехонов В. А.
5,0
5 отзывов
Опыт работы с 2005 года
Ещё 105 объектов"	1-комн. квартира, 21 м²	"Нижегородская область, Нижний Новгород, р-н Советский, мкр. улица Бекетова, Чукотская ул., 3На карте
Горьковская ⋅ 7 мин. на транспорте"	"21 м²
Общая
5,7 м²
Кухня
6 из 9
Этаж
1976
Построен"	"Тип жилья
Вторичка
Санузел
1 совмещенный
Ремонт
Косметический
Вид из окон
Во двор"	"О доме
По данным Циан
Год постройки
1976
Тип дома
Кирпичный
Тип перекрытий
Железобетонные
Подъезды
1
Лифты
Есть
Отопление
Центральное
Аварийность
Нет
Мусоропровод
Есть
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/275124590/	"2 490 000 ₽
69 944 ₽/м²
от 19 754 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа, возможна ипотека
Показать телефон
АГЕНТСТВО НЕДВИЖИМОСТИ
Центр Недвижимости Успех
Документы проверены
РИЕЛТОР
Нелли Валерьевна Ульяненкова
5,0・1
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	2-комн. квартира, 35,6 м²	Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Канавино, Интернациональная ул., 23На карте	"35,6 м²
Общая
22,5 м²
Жилая
6 м²
Кухня
2 из 3
Этаж"	"Тип жилья
Вторичка
Санузел
2 раздельных
Ремонт
Без ремонта"	"О доме
По данным Циан
Год постройки
1917
Тип дома
Кирпичный
Тип перекрытий
Деревянные
Подъезды
1
Отопление
Котел/Квартирное отопление
Аварийность
Нет
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/257927950/	"Хорошая цена
3 170 000 ₽
101 603 ₽/м²
от 25 149 ₽/мес в ипотеку
Следить за изменением цены
Альтернатива, возможна ипотека
Показать телефон
АГЕНТСТВО НЕДВИЖИМОСТИ
Центр Недвижимости Успех
Документы проверены
РИЕЛТОР
Марина Павловна Онищенко
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	1-комн. квартира, 31,2 м²	Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Лоскутова, 23На карте	"31,2 м²
Общая
19 м²
Жилая
5,5 м²
Кухня
4 из 5
Этаж"	"Тип жилья
Вторичка
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Без ремонта"	"О доме
По данным Циан
Год постройки
1969
Строительная серия
1-464А
Тип дома
Панельный
Тип перекрытий
Железобетонные
Подъезды
4
Отопление
Центральное
Аварийность
Нет
Газоснабжение
Центральное"
https://nn.cian.ru/sale/flat/271710540/	"4 750 000 ₽
129 076 ₽/м²
от 37 684 ₽/мес в ипотеку
Следить за изменением цены
Свободная продажа
Показать телефон
Написать
АГЕНТСТВО НЕДВИЖИМОСТИ
Владис
Документы проверены
РИЕЛТОР
Елена Батанина
Один запрос в 11 банков
10 минут на предварительное решение по ипотеке
Ставки от 10,4%"	1-комн. квартира, 36,8 м²	Нижегородская область, Кстовский муниципальный округ, Афонино деревня, ул. Красная Поляна, 4На карте	"36,8 м²
Общая
21,8 м²
Жилая
9 м²
Кухня
3 из 19
Этаж
2017
Построен"	"Тип жилья
Вторичка
Высота потолков
2,7 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Ремонт
Косметический
Вид из окон
На улицу и двор"	"О доме
По данным Циан
Год постройки
2017
Тип дома
Блочный
Тип перекрытий
Железобетонные
Подъезды
3
Лифты
Есть
Отопление
Автономная котельная
Аварийность
Нет"
